CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,Customer Type
1,Male,19,15,39,5,"Low Income, Low Spending"
2,Male,21,15,81,4,"Low Income, High Spending"
3,Female,20,16,6,5,"Low Income, Low Spending"
4,Female,23,16,77,4,"Low Income, High Spending"
5,Female,31,17,40,5,"Low Income, Low Spending"
6,Female,22,17,76,4,"Low Income, High Spending"
7,Female,35,18,6,5,"Low Income, Low Spending"
8,Female,23,18,94,4,"Low Income, High Spending"
9,Male,64,19,3,5,"Low Income, Low Spending"
10,Female,30,19,72,4,"Low Income, High Spending"
11,Male,67,19,14,5,"Low Income, Low Spending"
12,Female,35,19,99,4,"Low Income, High Spending"
13,Female,58,20,15,5,"Low Income, Low Spending"
14,Female,24,20,77,4,"Low Income, High Spending"
15,Male,37,20,13,5,"Low Income, Low Spending"
16,Male,22,20,79,4,"Low Income, High Spending"
17,Female,35,21,35,5,"Low Income, Low Spending"
18,Male,20,21,66,4,"Low Income, High Spending"
19,Male,52,23,29,5,"Low Income, Low Spending"
20,Female,35,23,98,4,"Low Income, High Spending"
21,Male,35,24,35,5,"Low Income, Low Spending"
22,Male,25,24,73,4,"Low Income, High Spending"
23,Female,46,25,5,5,"Low Income, Low Spending"
24,Male,31,25,73,4,"Low Income, High Spending"
25,Female,54,28,14,5,"Low Income, Low Spending"
26,Male,29,28,82,4,"Low Income, High Spending"
27,Female,45,28,32,5,"Low Income, Low Spending"
28,Male,35,28,61,4,"Low Income, High Spending"
29,Female,40,29,31,5,"Low Income, Low Spending"
30,Female,23,29,87,4,"Low Income, High Spending"
31,Male,60,30,4,5,"Low Income, Low Spending"
32,Female,21,30,73,4,"Low Income, High Spending"
33,Male,53,33,4,5,"Low Income, Low Spending"
34,Male,18,33,92,4,"Low Income, High Spending"
35,Female,49,33,14,5,"Low Income, Low Spending"
36,Female,21,33,81,4,"Low Income, High Spending"
37,Female,42,34,17,5,"Low Income, Low Spending"
38,Female,30,34,73,4,"Low Income, High Spending"
39,Female,36,37,26,5,"Low Income, Low Spending"
40,Female,20,37,75,4,"Low Income, High Spending"
41,Female,65,38,35,5,"Low Income, Low Spending"
42,Male,24,38,92,4,"Low Income, High Spending"
43,Male,48,39,36,5,"Low Income, Low Spending"
44,Female,31,39,61,2,"Average Income, Average Spending"
45,Female,49,39,28,5,"Low Income, Low Spending"
46,Female,24,39,65,2,"Average Income, Average Spending"
47,Female,50,40,55,2,"Average Income, Average Spending"
48,Female,27,40,47,2,"Average Income, Average Spending"
49,Female,29,40,42,2,"Average Income, Average Spending"
50,Female,31,40,42,2,"Average Income, Average Spending"
51,Female,49,42,52,2,"Average Income, Average Spending"
52,Male,33,42,60,2,"Average Income, Average Spending"
53,Female,31,43,54,2,"Average Income, Average Spending"
54,Male,59,43,60,2,"Average Income, Average Spending"
55,Female,50,43,45,2,"Average Income, Average Spending"
56,Male,47,43,41,2,"Average Income, Average Spending"
57,Female,51,44,50,2,"Average Income, Average Spending"
58,Male,69,44,46,2,"Average Income, Average Spending"
59,Female,27,46,51,2,"Average Income, Average Spending"
60,Male,53,46,46,2,"Average Income, Average Spending"
61,Male,70,46,56,2,"Average Income, Average Spending"
62,Male,19,46,55,2,"Average Income, Average Spending"
63,Female,67,47,52,2,"Average Income, Average Spending"
64,Female,54,47,59,2,"Average Income, Average Spending"
65,Male,63,48,51,2,"Average Income, Average Spending"
66,Male,18,48,59,2,"Average Income, Average Spending"
67,Female,43,48,50,2,"Average Income, Average Spending"
68,Female,68,48,48,2,"Average Income, Average Spending"
69,Male,19,48,59,2,"Average Income, Average Spending"
70,Female,32,48,47,2,"Average Income, Average Spending"
71,Male,70,49,55,2,"Average Income, Average Spending"
72,Female,47,49,42,2,"Average Income, Average Spending"
73,Female,60,50,49,2,"Average Income, Average Spending"
74,Female,60,50,56,2,"Average Income, Average Spending"
75,Male,59,54,47,2,"Average Income, Average Spending"
76,Male,26,54,54,2,"Average Income, Average Spending"
77,Female,45,54,53,2,"Average Income, Average Spending"
78,Male,40,54,48,2,"Average Income, Average Spending"
79,Female,23,54,52,2,"Average Income, Average Spending"
80,Female,49,54,42,2,"Average Income, Average Spending"
81,Male,57,54,51,2,"Average Income, Average Spending"
82,Male,38,54,55,2,"Average Income, Average Spending"
83,Male,67,54,41,2,"Average Income, Average Spending"
84,Female,46,54,44,2,"Average Income, Average Spending"
85,Female,21,54,57,2,"Average Income, Average Spending"
86,Male,48,54,46,2,"Average Income, Average Spending"
87,Female,55,57,58,2,"Average Income, Average Spending"
88,Female,22,57,55,2,"Average Income, Average Spending"
89,Female,34,58,60,2,"Average Income, Average Spending"
90,Female,50,58,46,2,"Average Income, Average Spending"
91,Female,68,59,55,2,"Average Income, Average Spending"
92,Male,18,59,41,2,"Average Income, Average Spending"
